Provincia,Departamento,Cantidad total de empleados en 2022
BUENOS AIRES,LA MATANZA,127962.0
BUENOS AIRES,VICENTE LOPEZ,120347.0
BUENOS AIRES,GENERAL PUEYRREDON,118660.0
BUENOS AIRES,SAN ISIDRO,98372.0
BUENOS AIRES,LA PLATA,89699.0
BUENOS AIRES,TIGRE,83661.0
BUENOS AIRES,GENERAL SAN MARTIN,80264.0
BUENOS AIRES,QUILMES,70121.0
BUENOS AIRES,PILAR,69099.0
BUENOS AIRES,BAHIA BLANCA,64116.0
BUENOS AIRES,AVELLANEDA,59956.0
BUENOS AIRES,LOMAS DE ZAMORA,58891.0
BUENOS AIRES,TRES DE FEBRERO,56379.0
BUENOS AIRES,MORON,55064.0
BUENOS AIRES,LANUS,53271.0
BUENOS AIRES,ALMIRANTE BROWN,42327.0
BUENOS AIRES,MALVINAS ARGENTINAS,39327.0
BUENOS AIRES,ESCOBAR,37585.0
BUENOS AIRES,ESTEBAN ECHEVERRIA,35457.0
BUENOS AIRES,MORENO,35171.0
BUENOS AIRES,SAN FERNANDO,29419.0
BUENOS AIRES,BERAZATEGUI,28710.0
BUENOS AIRES,EZEIZA,28664.0
BUENOS AIRES,ZARATE,28304.0
BUENOS AIRES,SAN MIGUEL,28070.0
BUENOS AIRES,MERLO,24883.0
BUENOS AIRES,CAMPANA,23261.0
BUENOS AIRES,TANDIL,21707.0
BUENOS AIRES,ITUZAINGO,20468.0
BUENOS AIRES,FLORENCIO VARELA,19995.0
BUENOS AIRES,SAN NICOLAS,19385.0
BUENOS AIRES,OLAVARRIA,18306.0
BUENOS AIRES,PERGAMINO,18004.0
BUENOS AIRES,HURLINGHAM,17278.0
BUENOS AIRES,LUJAN,17175.0
BUENOS AIRES,GENERAL RODRIGUEZ,15624.0
BUENOS AIRES,JUNIN,15266.0
BUENOS AIRES,ENSENADA,14350.0
BUENOS AIRES,NECOCHEA,12459.0
BUENOS AIRES,RAMALLO,11849.0
BUENOS AIRES,JOSE C. PAZ,11444.0
BUENOS AIRES,CAÑUELAS,10047.0
BUENOS AIRES,AZUL,9371.0
BUENOS AIRES,MERCEDES,8903.0
BUENOS AIRES,TRES ARROYOS,8454.0
BUENOS AIRES,CHIVILCOY,8419.0
BUENOS AIRES,BERISSO,8338.0
BUENOS AIRES,SALTO,7978.0
BUENOS AIRES,SAN PEDRO,7925.0
BUENOS AIRES,LA COSTA,7815.0
BUENOS AIRES,PINAMAR,6999.0
BUENOS AIRES,CHACABUCO,6981.0
BUENOS AIRES,BALCARCE,6902.0
BUENOS AIRES,TRENQUE LAUQUEN,6655.0
BUENOS AIRES,9 DE JULIO,5714.0
BUENOS AIRES,VILLA GESELL,5435.0
BUENOS AIRES,BRAGADO,5309.0
BUENOS AIRES,BARADERO,4929.0
BUENOS AIRES,LINCOLN,4911.0
BUENOS AIRES,CORONEL SUAREZ,4741.0
BUENOS AIRES,SAN VICENTE,4719.0
BUENOS AIRES,BRANDSEN,4690.0
BUENOS AIRES,CHASCOMUS,4686.0
BUENOS AIRES,LOBOS,4337.0
BUENOS AIRES,ROJAS,4128.0
BUENOS AIRES,MARCOS PAZ,3904.0
BUENOS AIRES,COLON,3898.0
BUENOS AIRES,GENERAL ALVARADO,3792.0
BUENOS AIRES,GENERAL VILLEGAS,3773.0
BUENOS AIRES,PEHUAJO,3709.0
BUENOS AIRES,EXALTACION DE LA CRUZ,3676.0
BUENOS AIRES,ARRECIFES,3598.0
BUENOS AIRES,SALADILLO,3527.0
BUENOS AIRES,BOLIVAR,3463.0
BUENOS AIRES,SAN ANDRES DE GILES,3370.0
BUENOS AIRES,SAN ANTONIO DE ARECO,3366.0
BUENOS AIRES,CORONEL DE MARINA LEONARDO ROSALES,3227.0
BUENOS AIRES,25 DE MAYO,3201.0
BUENOS AIRES,PRESIDENTE PERON,3062.0
BUENOS AIRES,CARLOS CASARES,2751.0
BUENOS AIRES,CAPITAN SARMIENTO,2726.0
BUENOS AIRES,MONTE,2718.0
BUENOS AIRES,VILLARINO,2515.0
BUENOS AIRES,GENERAL JUAN MADARIAGA,2360.0
BUENOS AIRES,DOLORES,2348.0
BUENOS AIRES,SAAVEDRA,2292.0
BUENOS AIRES,LAS FLORES,2290.0
BUENOS AIRES,GENERAL LAS HERAS,2274.0
BUENOS AIRES,CORONEL PRINGLES,2245.0
BUENOS AIRES,BENITO JUAREZ,2191.0
BUENOS AIRES,PATAGONES,2182.0
BUENOS AIRES,RIVADAVIA,2101.0
BUENOS AIRES,CARMEN DE ARECO,2092.0
BUENOS AIRES,DAIREAUX,1972.0
BUENOS AIRES,PUAN,1963.0
BUENOS AIRES,MAR CHIQUITA,1956.0
BUENOS AIRES,MAGDALENA,1926.0
BUENOS AIRES,AYACUCHO,1924.0
BUENOS AIRES,NAVARRO,1762.0
BUENOS AIRES,ADOLFO ALSINA,1761.0
BUENOS AIRES,TORNQUIST,1699.0
BUENOS AIRES,LOBERIA,1695.0
BUENOS AIRES,CORONEL DORREGO,1620.0
BUENOS AIRES,GENERAL ARENALES,1606.0
BUENOS AIRES,LEANDRO N. ALEM,1579.0
BUENOS AIRES,ALBERTI,1531.0
BUENOS AIRES,RAUCH,1519.0
BUENOS AIRES,GENERAL BELGRANO,1462.0
BUENOS AIRES,ROQUE PEREZ,1337.0
BUENOS AIRES,GENERAL VIAMONTE,1180.0
BUENOS AIRES,SUIPACHA,1068.0
BUENOS AIRES,GUAMINI,1066.0
BUENOS AIRES,ADOLFO GONZALES CHAVES,1043.0
BUENOS AIRES,GENERAL PINTO,1028.0
BUENOS AIRES,MAIPU,957.0
BUENOS AIRES,GENERAL LA MADRID,942.0
BUENOS AIRES,FLORENTINO AMEGHINO,924.0
BUENOS AIRES,HIPOLITO YRIGOYEN,919.0
BUENOS AIRES,MONTE HERMOSO,905.0
BUENOS AIRES,CASTELLI,887.0
BUENOS AIRES,SALLIQUELO,832.0
BUENOS AIRES,GENERAL ALVEAR,737.0
BUENOS AIRES,CARLOS TEJEDOR,731.0
BUENOS AIRES,GENERAL LAVALLE,730.0
BUENOS AIRES,LEZAMA,716.0
BUENOS AIRES,GENERAL PAZ,703.0
BUENOS AIRES,LAPRIDA,686.0
BUENOS AIRES,SAN CAYETANO,578.0
BUENOS AIRES,TRES LOMAS,576.0
BUENOS AIRES,TAPALQUE,546.0
BUENOS AIRES,PELLEGRINI,506.0
BUENOS AIRES,PUNTA INDIO,495.0
BUENOS AIRES,TORDILLO,268.0
BUENOS AIRES,GENERAL GUIDO,233.0
BUENOS AIRES,PILA,164.0
CABA,COMUNA 1,543181.0
CABA,COMUNA 4,152463.0
CABA,COMUNA 14,136207.0
CABA,COMUNA 13,111298.0
CABA,COMUNA 3,96510.0
CABA,COMUNA 2,88651.0
CABA,COMUNA 15,82853.0
CABA,COMUNA 5,66707.0
CABA,COMUNA 12,63727.0
CABA,COMUNA 11,48607.0
CABA,COMUNA 9,48389.0
CABA,COMUNA 7,46164.0
CABA,COMUNA 6,41665.0
CABA,COMUNA 10,40393.0
CABA,COMUNA 8,29582.0
CATAMARCA,CAPITAL,22415.0
CATAMARCA,LA PAZ,1716.0
CATAMARCA,VALLE VIEJO,1675.0
CATAMARCA,ANDALGALA,1481.0
CATAMARCA,SANTA MARIA,1206.0
CATAMARCA,BELEN,1057.0
CATAMARCA,TINOGASTA,928.0
CATAMARCA,CAPAYAN,832.0
CATAMARCA,ANTOFAGASTA DE LA SIERRA,717.0
CATAMARCA,POMAN,661.0
CATAMARCA,SANTA ROSA,497.0
CATAMARCA,EL ALTO,359.0
CATAMARCA,FRAY MAMERTO ESQUIU,344.0
CATAMARCA,AMBATO,198.0
CATAMARCA,PACLIN,79.0
CATAMARCA,ANCASTI,26.0
CHACO,SAN FERNANDO,56027.0
CHACO,COMANDANTE FERNANDEZ,7407.0
CHACO,CHACABUCO,3475.0
CHACO,MAYOR LUIS J. FONTANA,3419.0
CHACO,GENERAL GUEMES,1897.0
CHACO,INDEPENDENCIA,1625.0
CHACO,LIBERTAD,1586.0
CHACO,ALMIRANTE BROWN,1547.0
CHACO,LIBERTADOR GENERAL SAN MARTIN,1151.0
CHACO,PRESIDENCIA DE LA PLAZA,1121.0
CHACO,QUITILIPI,973.0
CHACO,9 DE JULIO,963.0
CHACO,MAIPU,962.0
CHACO,12 DE OCTUBRE,885.0
CHACO,BERMEJO,863.0
CHACO,25 DE MAYO,675.0
CHACO,2 DE ABRIL,656.0
CHACO,O'HIGGINS,496.0
CHACO,GENERAL BELGRANO,444.0
CHACO,TAPENAGA,363.0
CHACO,GENERAL DONOVAN,351.0
CHACO,SARGENTO CABRAL,251.0
CHACO,1° DE MAYO,210.0
CHACO,SAN LORENZO,196.0
CHACO,FRAY JUSTO SANTA MARIA DE ORO,129.0
CHUBUT,ESCALANTE,46405.0
CHUBUT,BIEDMA,22133.0
CHUBUT,RAWSON,21389.0
CHUBUT,FUTALEUFU,4603.0
CHUBUT,SARMIENTO,1763.0
CHUBUT,GAIMAN,1454.0
CHUBUT,CUSHAMEN,1148.0
CHUBUT,RIO SENGUER,484.0
CHUBUT,TEHUELCHES,419.0
CHUBUT,PASO DE INDIOS,118.0
CHUBUT,FLORENTINO AMEGHINO,111.0
CHUBUT,TELSEN,55.0
CHUBUT,MARTIRES,55.0
CHUBUT,GASTRE,50.0
CHUBUT,LANGUIÑEO,30.0
CORDOBA,CAPITAL,265449.0
CORDOBA,RIO CUARTO,37545.0
CORDOBA,SAN JUSTO,35745.0
CORDOBA,PUNILLA,25584.0
CORDOBA,COLON,24593.0
CORDOBA,GENERAL SAN MARTIN,23656.0
CORDOBA,MARCOS JUAREZ,16316.0
CORDOBA,TERCERO ARRIBA,15769.0
CORDOBA,SANTA MARIA,15327.0
CORDOBA,RIO SEGUNDO,14878.0
CORDOBA,UNION,14101.0
CORDOBA,JUAREZ CELMAN,13512.0
CORDOBA,CALAMUCHITA,6552.0
CORDOBA,RIO PRIMERO,5822.0
CORDOBA,PRESIDENTE ROQUE SAENZ PEÑA,4021.0
CORDOBA,SAN JAVIER,3811.0
CORDOBA,GENERAL ROCA,3591.0
CORDOBA,TOTORAL,3209.0
CORDOBA,CRUZ DEL EJE,2714.0
CORDOBA,SAN ALBERTO,2277.0
CORDOBA,ISCHILIN,1396.0
CORDOBA,RIO SECO,620.0
CORDOBA,TULUMBA,616.0
CORDOBA,MINAS,270.0
CORDOBA,SOBREMONTE,154.0
CORDOBA,POCHO,37.0
CORRIENTES,CAPITAL,39105.0
CORRIENTES,SANTO TOME,8823.0
CORRIENTES,GOYA,4822.0
CORRIENTES,ITUZAINGO,3939.0
CORRIENTES,MERCEDES,3540.0
CORRIENTES,PASO DE LOS LIBRES,3439.0
CORRIENTES,CURUZU CUATIA,3139.0
