Name,year,iso_code,population,gdp,co2,coal_co2,oil_co2,gas_co2,methane,nitrous_oxide,total_ghg,primary_energy_consumption
Afghanistan,1980,AFG,13169312.0,15329836032.0,1.756,0.316,0.925,0.187,11.657,3.351,20.068,7.791
Afghanistan,1981,AFG,11937587.0,15645343744.0,1.978,0.333,1.015,0.304,11.608,3.321,20.145,8.777
Afghanistan,1982,AFG,10991382.0,15980409856.0,2.095,0.385,0.993,0.396,11.494,3.368,19.83,9.348
Afghanistan,1983,AFG,10917986.0,16755333120.0,2.52,0.385,1.22,0.616,11.019,3.172,19.465,11.436
Afghanistan,1984,AFG,11190220.0,17072152576.0,2.822,0.393,1.134,0.932,10.076,3.005,18.387,11.489
Afghanistan,1985,AFG,11426855.0,17108480000.0,3.501,0.4,1.548,1.192,9.337,2.794,17.89,11.217
Afghanistan,1986,AFG,11420074.0,17641345024.0,3.134,0.425,1.14,1.202,8.131,2.389,15.693,11.462
Afghanistan,1987,AFG,11387824.0,15810816000.0,3.114,0.443,2.013,0.392,8.149,2.592,15.699,18.483
Afghanistan,1988,AFG,11523299.0,14499068928.0,2.857,0.366,1.821,0.44,8.332,2.699,15.688,32.596
Afghanistan,1989,AFG,11874088.0,13489497088.0,2.765,0.337,1.865,0.48,7.832,2.684,14.936,32.052
Afghanistan,1990,AFG,12045664.0,13065984000.0,2.024,0.278,1.271,0.403,7.86,2.645,13.892,31.746
Afghanistan,1991,AFG,12238879.0,12047362048.0,1.914,0.25,1.204,0.389,8.221,2.72,14.178,13.903
Afghanistan,1992,AFG,13278982.0,12677539840.0,1.482,0.022,1.03,0.363,8.377,2.666,12.514,9.168
Afghanistan,1993,AFG,14943174.0,9834582016.0,1.487,0.018,1.048,0.352,8.579,2.705,11.804,9.105
Afghanistan,1994,AFG,16250799.0,7919856640.0,1.454,0.015,1.032,0.338,8.974,2.552,12.282,8.816
Afghanistan,1995,AFG,17065836.0,12307525632.0,1.417,0.015,1.011,0.322,9.505,2.672,13.319,7.429
Afghanistan,1996,AFG,17763265.0,12070125568.0,1.37,0.007,0.986,0.308,10.506,2.899,15.723,7.286
Afghanistan,1997,AFG,18452100.0,11850753024.0,1.304,0.004,0.949,0.282,11.334,3.186,18.584,6.938
Afghanistan,1998,AFG,19159996.0,11692171264.0,1.279,0.004,0.942,0.264,11.976,3.453,17.581,6.752
Afghanistan,1999,AFG,19887791.0,11517316096.0,1.092,0.004,0.777,0.242,12.904,3.699,19.208,6.749
Afghanistan,2000,AFG,20130334.0,11283793920.0,1.047,0.004,0.788,0.224,11.643,3.221,16.955,5.914
Afghanistan,2001,AFG,20284303.0,11021273088.0,1.069,0.07,0.762,0.209,10.357,2.852,15.772,4.664
Afghanistan,2002,AFG,21378123.0,18804871168.0,1.341,0.055,0.727,0.547,12.464,3.298,20.735,4.428
Afghanistan,2003,AFG,22733054.0,21074343936.0,1.56,0.092,0.992,0.466,12.859,3.433,21.423,5.208
Afghanistan,2004,AFG,23560656.0,22332569600.0,1.237,0.092,0.909,0.227,12.922,3.41,20.057,4.81
Afghanistan,2005,AFG,24404574.0,25397686272.0,1.89,0.106,1.447,0.33,13.275,3.559,20.766,6.153
Afghanistan,2006,AFG,25424100.0,28704399360.0,2.159,0.161,1.657,0.329,13.566,3.416,21.007,7.745
Afghanistan,2007,AFG,25909852.0,34507530240.0,2.8,0.747,1.733,0.308,13.974,3.363,21.89,9.177
Afghanistan,2008,AFG,26482629.0,36561043456.0,4.254,1.078,2.864,0.297,15.253,3.662,24.754,16.063
Afghanistan,2009,AFG,27466101.0,44358721536.0,6.392,1.514,4.594,0.271,15.66,3.964,27.462,26.702
Afghanistan,2010,AFG,28284088.0,47399424000.0,8.365,2.246,5.833,0.271,17.641,4.382,31.581,33.345
Afghanistan,2011,AFG,29347709.0,53326336000.0,11.838,4.181,7.335,0.308,18.205,4.516,35.634,42.005
Afghanistan,2012,AFG,30560036.0,59166900224.0,10.035,3.125,6.573,0.308,18.094,4.532,33.622,40.341
Afghanistan,2013,AFG,31622708.0,62993698816.0,9.229,3.303,5.593,0.297,18.228,4.544,32.971,33.459
Afghanistan,2014,AFG,32792527.0,64346107904.0,9.086,3.621,5.165,0.271,18.683,4.819,33.681,28.417
Afghanistan,2015,AFG,33831765.0,62783393792.0,9.67,2.722,6.625,0.282,18.048,4.798,33.569,32.744
Afghanistan,2016,AFG,34700614.0,64372215808.0,8.906,2.718,5.794,0.319,18.125,4.767,33.088,29.884
Afghanistan,2017,AFG,35688942.0,65169281024.0,9.677,3.257,6.075,0.3,18.182,4.969,36.574,29.56
Afghanistan,2018,AFG,36743040.0,65996738560.0,10.602,3.633,6.619,0.293,18.741,4.876,36.748,33.908
Afghanistan,2019,AFG,37856126.0,73085706240.0,10.825,3.701,6.841,0.245,18.734,4.628,39.145,30.314
Afghanistan,2020,AFG,39068978.0,71417708544.0,11.606,4.116,7.275,0.154,18.086,4.539,37.833,27.393
